Price,Type,Màn hình,Hệ điều hành,Camera sau,Camera trước,CPU,RAM,Bộ nhớ trong,Sim,Pin
18.990.000₫,iPhone (Apple),"OLED, 5.4"", Super Retina XDR",iOS 14,2 camera 12 MP,12 MP,Apple A14 Bionic 6 nhân,4 GB,64 GB,"1 Nano SIM & 1 eSIM, Hỗ trợ 5G","2227 mAh, có sạc nhanh"
5.990.000₫,OPPO,"TFT LCD, 6.5"", Full HD+",Android 10,"Chính 48 MP & Phụ 8 MP, 2 MP, 2 MP",16 MP,Snapdragon 665 8 nhân,8 GB,128 GB,"2 Nano SIM, Hỗ trợ 4G","5000 mAh, có sạc nhanh"
23.990.000₫,iPhone (Apple),"OLED, 6.1"", Super Retina XDR",iOS 14,2 camera 12 MP,12 MP,Apple A14 Bionic 6 nhân,4 GB,64 GB,"1 Nano SIM & 1 eSIM, Hỗ trợ 5G","2815 mAh, có sạc nhanh"
3.490.000₫,Xiaomi,"IPS LCD, 6.53"", Full HD+",Android 10,"Chính 13 MP & Phụ 8 MP, 5 MP, 2 MP",8 MP,MediaTek Helio G80 8 nhân,4 GB,64 GB,"2 Nano SIM, Hỗ trợ 4G","5020 mAh, có sạc nhanh"
4.690.000₫,Samsung,"PLS TFT LCD, 6.5"", HD+",Android 10,"Chính 48 MP & Phụ 5 MP, 2 MP, 2 MP",8 MP,MediaTek Helio G35 8 nhân,6 GB,128 GB,"2 Nano SIM, Hỗ trợ 4G","5000 mAh, có sạc nhanh"
8.990.000₫,Samsung,"Super AMOLED Plus, 6.7"", Full HD+",Android 10,"Chính 64 MP & Phụ 12 MP, 5 MP, 5 MP",32 MP,Snapdragon 730 8 nhân,8 GB,128 GB,"2 Nano SIM, Hỗ trợ 4G","7000 mAh, có sạc nhanh"
3.990.000₫,Realme,"IPS LCD, 6.5"", HD+",Android 10,"Chính 13 & Phụ 8 MP, 2 MP, 2 MP",8 MP,Snapdragon 460 8 nhân,4 GB,64 GB,"2 Nano SIM, Hỗ trợ 4G","6000 mAh, có sạc nhanh"
5.990.000₫,Vivo,"IPS LCD, 6.58"", Full HD+",Android 11,"Chính 48 MP & Phụ 8 MP, 2 MP",16 MP,Snapdragon 662 8 nhân,8 GB,128 GB,"2 Nano SIM (SIM 2 chung khe thẻ nhớ), Hỗ trợ 4G","5000 mAh, có sạc nhanh"
50.000.000₫,Samsung,"Chính: Dynamic AMOLED, Phụ: Super AMOLED, Chính 7.59"" & Phụ 6.23"", Full HD+",Android 10,3 camera 12 MP,10 MP,Snapdragon 865+ 8 nhân,12 GB,256 GB,"1 Nano SIM & 1 eSIM, Hỗ trợ 5G","4500 mAh, có sạc nhanh"
50.000.000₫,Samsung,"Chính: Dynamic AMOLED, Phụ: Super AMOLED, Chính 7.59"" & Phụ 6.23"", Full HD+",Android 10,3 camera 12 MP,10 MP,Snapdragon 865+ 8 nhân,12 GB,256 GB,"1 Nano SIM & 1 eSIM, Hỗ trợ 5G","4500 mAh, có sạc nhanh"
41.990.000₫,iPhone (Apple),"OLED, 6.7"", Super Retina XDR",iOS 14,3 camera 12 MP,12 MP,Apple A14 Bionic 6 nhân,6 GB,512 GB,"1 Nano SIM & 1 eSIM, Hỗ trợ 5G","3687 mAh, có sạc nhanh"
38.990.000₫,iPhone (Apple),"OLED, 6.1"", Super Retina XDR",iOS 14,3 camera 12 MP,12 MP,Apple A14 Bionic 6 nhân,6 GB,512 GB,"1 Nano SIM & 1 eSIM, Hỗ trợ 5G","2815 mAh, có sạc nhanh"
36.990.000₫,iPhone (Apple),"OLED, 6.7"", Super Retina XDR",iOS 14,3 camera 12 MP,12 MP,Apple A14 Bionic 6 nhân,6 GB,256 GB,"1 Nano SIM & 1 eSIM, Hỗ trợ 5G","3687 mAh, có sạc nhanh"
36.000.000₫,Samsung,"Chính: Dynamic AMOLED, Phụ: Super AMOLED, 6.7"", Quad HD (2K)",Android 10,2 camera 12 MP,10 MP,Snapdragon 855+ 8 nhân,8 GB,256 GB,"1 Nano SIM & 1 eSIM, Hỗ trợ 4G","3300 mAh, có sạc nhanh"
